review_id,review,rating,sentiment,label_source,prediction_confidence,needs_human_review,split_role,is_autotag,store_name,store_address,review_time,days_ago,review_clean,rating_num,reviewer_id,review_processed
189,The last two times I went to this location the burgers were barely even warm when they were handed to me. I had to take them back because they were cool to the touch.,1,Negative,human_annotated,1.0,False,gold_test,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",6 years ago,2190.0,The last two times I went to this location the burgers were barely even warm when they were handed to me. I had to take them back because they were cool to the touch.,1,189,the last two times went this the burgers were barely even warm when they were handed had take them back because they were cool the touch
266,It would be okay if I could communicate with the people that work there I suppose I am suppose to learn Spanish,1,Negative,human_annotated,1.0,False,train,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",6 years ago,2190.0,It would be okay if I could communicate with the people that work there I suppose I am suppose to learn Spanish,1,266,would okay could communicate with the people that work there suppose suppose learn spanish
277,"Drive thru very slow, stop bye after work took about 20 minutes to get food and that's at 12:30 am .",2,Negative,human_annotated,1.0,False,train,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",5 years ago,1825.0,"Drive thru very slow, stop bye after work took about 20 minutes to get food and that's at 12:30 am .",2,277,drive thru very slow stop bye after work took about minutes get food and that
333,Sometimes you don't get your order right,3,Negative,human_annotated,1.0,False,gold_test,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",4 years ago,1460.0,Sometimes you don't get your order right,3,333,sometimes you not get your order right
370,They are fast and the order is correct.,5,Positive,human_annotated,1.0,False,gold_test,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",2 years ago,730.0,They are fast and the order is correct.,5,370,they are fast and the order correct
400,Fast accurate and hot food.,5,Positive,human_annotated,1.0,False,validation,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",4 years ago,1460.0,Fast accurate and hot food.,5,400,fast accurate and hot food
418,Great food it was amazing,5,Positive,human_annotated,1.0,False,train,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",4 years ago,1460.0,Great food it was amazing,5,418,great food was amazing
471,Great service,4,Positive,human_annotated,1.0,False,train,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",a year ago,365.0,Great service,4,471,great service
477,Fast.,5,Positive,human_annotated,1.0,False,validation,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",4 years ago,1460.0,Fast.,5,477,fast
495,Mid,2,Neutral,human_annotated,1.0,False,gold_test,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",a year ago,365.0,Mid,2,495,mid
506,Goood good good,3,Positive,human_annotated,1.0,False,validation,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",3 years ago,1095.0,Goood good good,3,506,goood good good
519,Good for a McDonalds,3,Positive,human_annotated,1.0,False,validation,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",4 years ago,1460.0,Good for a McDonalds,3,519,good for
536,HORRIBLE,1,Negative,human_annotated,1.0,False,validation,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",7 years ago,2555.0,HORRIBLE,1,536,horrible
542,American icon,5,Positive,human_annotated,1.0,False,train,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",2 years ago,730.0,American icon,5,542,american icon
594,waiting time was too long,1,Negative,human_annotated,1.0,False,train,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",5 months ago,150.0,waiting time was too long,1,594,waiting time was too long
844,Fine service. Gave me the wrong meal.,3,Negative,human_annotated,1.0,False,validation,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",a month ago,30.0,Fine service. Gave me the wrong meal.,3,844,fine service gave the wrong meal
847,"Ordered quite a bit of food. Never got the order, we ordered. Asked several times for them to check it, they said they did! Came home and found they forgot at least 2 main items. No napkins and forgot straw for drink. Oh yeah, lid on drink was not on properly. Very upset by the entire",1,Negative,human_annotated,1.0,False,train,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",2 years ago,730.0,"Ordered quite a bit of food. Never got the order, we ordered. Asked several times for them to check it, they said they did! Came home and found they forgot at least 2 main items. No napkins and forgot straw for drink. Oh yeah, lid on drink was not on properly. Very upset by the entire",1,847,ordered quite bit food never got the order ordered asked several times for them check they said they did came home and found they forgot least main items no napkins and forgot straw for drink yeah lid drink was not properly very upset the entire
881,"I like McDonald s, just not this McDonald s. The drive thru is a 10 minute wait. Only maybe 4 cars waiting ahead of you. You pay at first window then you pull up to second window. They tell you to pull off to the side in that space and we will bring it to you. An 8 minute wait there. When you get your food the Coke is flat and",1,Negative,human_annotated,1.0,False,train,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",4 years ago,1460.0,"I like McDonald s, just not this McDonald s. The drive thru is a 10 minute wait. Only maybe 4 cars waiting ahead of you. You pay at first window then you pull up to second window. They tell you to pull off to the side in that space and we will bring it to you. An 8 minute wait there. When you get your food the Coke is flat and",1,881,like just not this the drive thru minute wait only maybe cars waiting ahead you you pay first window then you pull second window they tell you pull off the side that space and will bring you minute wait there when you get your food the coke flat and
887,"If they took the grease off the burger it would be the 1/8pounder, but the grease soften the rock hard bun (must have been left over from 2016) and don't even get me started on the fries. If I wouldn't be arrested for assault I would have thrown it at them. Good thing I had the granddaughter with me",1,Negative,human_annotated,1.0,False,train,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",4 years ago,1460.0,"If they took the grease off the burger it would be the 1/8pounder, but the grease soften the rock hard bun (must have been left over from 2016) and don't even get me started on the fries. If I wouldn't be arrested for assault I would have thrown it at them. Good thing I had the granddaughter with me",1,887,they took the grease off the burger would the pounder but the grease soften the rock hard bun must have been left over from and not even get started the fries would not arrested for assault would have thrown them good thing had the granddaughter with
902,"By far the worst of the franchise. This location does not sell McDonald's recipes or guidelines. 2 times i made a u-turn for over salted fries that can't be eaten for the amount of salt put on them. The burgers are not built to McD recipes they appear slopped together and backwards. To top it off the packing is without care. They mix multiple orders in different bags where another petson has to dig food out of another bagto putmy meal together. This is serious ignorance, laziness and incompetence management to say the least! Need more prople to contact corporate about this location...",1,Negative,human_annotated,1.0,False,train,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",3 years ago,1095.0,"By far the worst of the franchise. This location does not sell McDonald's recipes or guidelines. 2 times i made a u-turn for over salted fries that can't be eaten for the amount of salt put on them. The burgers are not built to McD recipes they appear slopped together and backwards. To top it off the packing is without care. They mix multiple orders in different bags where another petson has to dig food out of another bagto putmy meal together. This is serious ignorance, laziness and incompetence management to say the least! Need more prople to contact corporate about this location...",1,902,far the worst the franchise this does not sell recipes guidelines times made turn for over salted fries that can not eaten for the amount salt put them the burgers are not built mcd recipes they appear slopped together and backwards top off the packing without care they mix multiple orders different bags where another petson has dig food out another bagto putmy meal together this serious ignorance laziness and incompetence management say the least need more prople contact corporate about this
903,Evening shift gave us warm fresh food.Surroundings/parking lot was Very clean. To top it off we got a super great Window person.,5,Positive,human_annotated,1.0,False,train,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",2 years ago,730.0,Evening shift gave us warm fresh food.Surroundings/parking lot was Very clean. To top it off we got a super great Window person.,5,903,evening shift gave warm fresh food surroundings parking lot was very clean top off got super great window person
912,Time for McDonald's to open their doors for indoor seating. Pricing is getting out of hand as well. Can go to red Robin for $5 more and sit down to eat.,2,Neutral,human_annotated,1.0,False,train,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",a year ago,365.0,Time for McDonald's to open their doors for indoor seating. Pricing is getting out of hand as well. Can go to red Robin for $5 more and sit down to eat.,2,912,time for open their doors for indoor seating pricing getting out hand well can red robin for more and sit down eat
919,"Pretty much the worst McDonald s I ve ever had, and I",1,Negative,human_annotated,1.0,False,train,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",2 years ago,730.0,"Pretty much the worst McDonald s I ve ever had, and I",1,919,pretty much the worst ever had and
933,Worst customer service ever will not return. Food was cold and frys not cooked properly. Bread had mold on it,1,Negative,human_annotated,1.0,False,train,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",a year ago,365.0,Worst customer service ever will not return. Food was cold and frys not cooked properly. Bread had mold on it,1,933,worst customer service ever will not return food was cold and frys not cooked properly bread had mold
953,It's an MCD they are all kinda the same,4,Neutral,human_annotated,1.0,False,train,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",3 months ago,90.0,It's an MCD they are all kinda the same,4,953,mcd they are all kinda the same
979,"Went late night, about 7 cars ahead of me but it went quickly. Thank goodness that something was still open",5,Positive,human_annotated,1.0,False,train,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",2 years ago,730.0,"Went late night, about 7 cars ahead of me but it went quickly. Thank goodness that something was still open",5,979,went late night about cars ahead but went quickly thank goodness that something was still open
990,This McDonald s is the worst advertise they have certain menu items and whe,1,Negative,human_annotated,1.0,False,train,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",3 years ago,1095.0,This McDonald s is the worst advertise they have certain menu items and whe,1,990,this the worst advertise they have certain menu items and whe
1010,One of the good quality McDonald's. I stop by almost every times I go snowboarding in PA.,5,Positive,human_annotated,1.0,False,validation,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",2 years ago,730.0,One of the good quality McDonald's. I stop by almost every times I go snowboarding in PA.,5,1010,one the good quality stop almost every times snowboarding
1028,Got the bundle good deal something for everyone.,4,Positive,human_annotated,1.0,False,gold_test,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",a year ago,365.0,Got the bundle good deal something for everyone.,4,1028,got the bundle good deal something for everyone
1040,"Always enjoy Mcdees..... Pretty clean bathrooms, as well as their overall interior.",5,Positive,human_annotated,1.0,False,gold_test,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",3 years ago,1095.0,"Always enjoy Mcdees..... Pretty clean bathrooms, as well as their overall interior.",5,1040,always enjoy mcdees pretty clean bathrooms well their overall interior
1048,Great had just come from getting our great grandson a haircut,5,Positive,human_annotated,1.0,False,gold_test,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",3 years ago,1095.0,Great had just come from getting our great grandson a haircut,5,1048,great had just come from getting our great grandson haircut
1080,Inconsistent inconsistent that's the truth. Also they don't clean the edges of the booths. Gross,2,Negative,human_annotated,1.0,False,validation,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",6 years ago,2190.0,Inconsistent inconsistent that's the truth. Also they don't clean the edges of the booths. Gross,2,1080,inconsistent inconsistent that the truth also they not clean the edges the booths gross
1145,"Never fails, always hits the spot lol",5,Positive,human_annotated,1.0,False,train,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",4 years ago,1460.0,"Never fails, always hits the spot lol",5,1145,never fails always hits the spot lol
1157,Food cold. No napkins. Employees rude,1,Negative,human_annotated,1.0,False,validation,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",4 years ago,1460.0,Food cold. No napkins. Employees rude,1,1157,food cold no napkins employees rude
1169,What can I really say about Mickey D,3,Neutral,human_annotated,1.0,False,train,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",2 years ago,730.0,What can I really say about Mickey D,3,1169,what can really say about mickey
1197,Love the caramel frappes,5,Positive,human_annotated,1.0,False,validation,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",2 years ago,730.0,Love the caramel frappes,5,1197,love the caramel frappes
1203,The shake machine is never working.,3,Negative,human_annotated,1.0,False,validation,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",6 years ago,2190.0,The shake machine is never working.,3,1203,the shake machine never working
1207,"Very quick, and delicious",3,Positive,human_annotated,1.0,False,validation,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",4 years ago,1460.0,"Very quick, and delicious",3,1207,very quick and delicious
1230,Love their food,5,Positive,human_annotated,1.0,False,train,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",5 years ago,1825.0,Love their food,5,1230,love their food
1233,Good Service and Good Food,4,Positive,human_annotated,1.0,False,gold_test,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",3 years ago,1095.0,Good Service and Good Food,4,1233,good service and good food
1246,mmmm chimken,5,Positive,human_annotated,1.0,False,train,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",2 years ago,730.0,mmmm chimken,5,1246,mmmm chimken
1271,Great,4,Positive,human_annotated,1.0,False,train,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",2 years ago,730.0,Great,4,1271,great
1272,The not the way should be,1,Negative,human_annotated,1.0,False,train,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",5 years ago,1825.0,The not the way should be,1,1272,the not the way should
1506,No too bad,1,Neutral,human_annotated,1.0,False,train,False,McDonald's,"1698 US-209, Brodheadsville, PA 18322, United States",3 years ago,1095.0,No too bad,1,1506,no too bad
1887,Ordered Uber Eats. No drinks or cookies were in my order. Cold food.,2,Negative,human_annotated,1.0,False,train,False,McDonald's,"72-69 Kissena Blvd, Queens, NY 11367, United States",4 months ago,120.0,Ordered Uber Eats. No drinks or cookies were in my order. Cold food.,2,1887,ordered uber eats no drinks cookies were order cold food
1930,The worst McDonald s I have ever been to and will never go back again. We had to repeat our order like 5 times and they still messed up,1,Negative,human_annotated,1.0,False,train,False,McDonald's,"72-69 Kissena Blvd, Queens, NY 11367, United States",11 months ago,330.0,The worst McDonald s I have ever been to and will never go back again. We had to repeat our order like 5 times and they still messed up,1,1930,the worst have ever been and will never back again had repeat our order like times and they still messed
1946,"I know it was just a McDonald s, but there are clean ones too where staffs regularly c",3,Negative,human_annotated,1.0,False,gold_test,False,McDonald's,"72-69 Kissena Blvd, Queens, NY 11367, United States",11 months ago,330.0,"I know it was just a McDonald s, but there are clean ones too where staffs regularly c",3,1946,know was just but there are clean ones too where staffs regularly
1959,"We didn't enjoy our visit to this McDonald location. The ice tea was warm, our fries and burger were cold and rubbery. The only thing I enjoyed was my cappuccino. We will not be visiting this McDonald's again. It wasn't that busy for them not to have hot fresh food prepared.",1,Negative,human_annotated,1.0,False,train,False,McDonald's,"72-69 Kissena Blvd, Queens, NY 11367, United States",4 years ago,1460.0,"We didn't enjoy our visit to this McDonald location. The ice tea was warm, our fries and burger were cold and rubbery. The only thing I enjoyed was my cappuccino. We will not be visiting this McDonald's again. It wasn't that busy for them not to have hot fresh food prepared.",1,1959,did not enjoy our visit this the ice tea was warm our fries and burger were cold and rubbery the only thing enjoyed was cappuccino will not visiting this again was not that busy for them not have hot fresh food prepared
1973,"Tl;Dr poor service, frequently gets orders wrong. We try and avoid this place even when we specifically have a hankering for McDonald's. We always have an issue at this McDonald's no matter what time of day, whether we order from a food delivery service or in person. The orders always get screwed up, from missing items to getting a sausage egg and cheese mcgriddle that just had cheese! If there was other fast food options besides pizza and halal nearby we'd probably never go here again. But today I finally understood why it's a mess: there's no communication. It was a busy time since school had just let out and I stood for about 5 minutes waiting for a Dr. Pepper and watched the crew work in relative silence while pushing out food orders without tickets and without speaking to each other. Anyone who has worked in food service knows a quiet kitchen spells more trouble than a loud one. Eventually my sister flagged down the man doing drink orders and asked if the drink he'd just placed in the row of 8 other drinks he'd been setting down indiscriminately was our Dr. Pepper and he said yes...it was a Coke. Management here really needs to have a talk to the crew about working together as a team and communication, especially when it's busy. Yes it's just a McDonald's, and I'm not expecting white glove service from a fast food joint, but our community deserves better than what we're getting for sure.",2,Negative,human_annotated,1.0,False,gold_test,False,McDonald's,"72-69 Kissena Blvd, Queens, NY 11367, United States",4 years ago,1460.0,"Tl;Dr poor service, frequently gets orders wrong. We try and avoid this place even when we specifically have a hankering for McDonald's. We always have an issue at this McDonald's no matter what time of day, whether we order from a food delivery service or in person. The orders always get screwed up, from missing items to getting a sausage egg and cheese mcgriddle that just had cheese! If there was other fast food options besides pizza and halal nearby we'd probably never go here again. But today I finally understood why it's a mess: there's no communication. It was a busy time since school had just let out and I stood for about 5 minutes waiting for a Dr. Pepper and watched the crew work in relative silence while pushing out food orders without tickets and without speaking to each other. Anyone who has worked in food service knows a quiet kitchen spells more trouble than a loud one. Eventually my sister flagged down the man doing drink orders and asked if the drink he'd just placed in the row of 8 other drinks he'd been setting down indiscriminately was our Dr. Pepper and he said yes...it was a Coke. Management here really needs to have a talk to the crew about working together as a team and communication, especially when it's busy. Yes it's just a McDonald's, and I'm not expecting white glove service from a fast food joint, but our community deserves better than what we're getting for sure.",2,1973,poor service frequently gets orders wrong try and avoid this place even when specifically have hankering for always have issue this no matter what time day whether order from food delivery service person the orders always get screwed from missing items getting sausage egg and cheese mcgriddle that just had cheese there was other fast food options besides pizza and halal nearby probably never here again but today finally understood why mess there no communication was busy time since school had just let out and stood for about minutes waiting for pepper and watched the crew work relative silence while pushing out food orders without tickets and without speaking each other anyone who has worked food service knows quiet kitchen spells more trouble than loud one eventually sister flagged down the man doing drink orders and asked the drink just placed the row other drinks been setting down indiscriminately was our pepper and said yes was coke management here really needs have talk the crew about working together team and communication especially when busy yes just and not expecting white glove service from fast food joint but our community deserves better than what getting for sure
1986,"Went to the location on 73rd and Kissena Blvd. last night for the first time since the renovation. It was a very nice experience. The renovations was nice but most of all, the staff was so very pleasant and could not have been more helpful. Such lovely people. Thank you.",5,Positive,human_annotated,1.0,False,train,False,McDonald's,"72-69 Kissena Blvd, Queens, NY 11367, United States",3 years ago,1095.0,"Went to the location on 73rd and Kissena Blvd. last night for the first time since the renovation. It was a very nice experience. The renovations was nice but most of all, the staff was so very pleasant and could not have been more helpful. Such lovely people. Thank you.",5,1986,went the and kissena blvd last night for the first time since the renovation was very nice experience the renovations was nice but most all the staff was very pleasant and could not have been more helpful such lovely people thank you
1991,Attitude with no straws or ketchup. I torture myself by coming here because I always hope the customer service will improve. The staff's unprofessionalism has helped me to decide to detox from fast food.,1,Negative,human_annotated,1.0,False,train,False,McDonald's,"72-69 Kissena Blvd, Queens, NY 11367, United States",3 years ago,1095.0,Attitude with no straws or ketchup. I torture myself by coming here because I always hope the customer service will improve. The staff's unprofessionalism has helped me to decide to detox from fast food.,1,1991,attitude with no straws ketchup torture myself coming here because always hope the customer service will improve the staff unprofessionalism has helped decide detox from fast food
2109,The usual McDonald's good drunk food. Crowed in drive thru service still pretty quick. Price went up a little not much still good deals,4,Positive,human_annotated,1.0,False,gold_test,False,McDonald's,"72-69 Kissena Blvd, Queens, NY 11367, United States",4 years ago,1460.0,The usual McDonald's good drunk food. Crowed in drive thru service still pretty quick. Price went up a little not much still good deals,4,2109,the usual good drunk food crowed drive thru service still pretty quick price went little not much still good deals
2123,I always buy ice coffee hazelnut I always ask for 4 cream and 4 sugar but you guys always make my order wrong please train your workers how to make ice coffee because I always drink half and throw the rest in the garbage because it does not taste the way how I want it,1,Negative,human_annotated,1.0,False,gold_test,False,McDonald's,"72-69 Kissena Blvd, Queens, NY 11367, United States",2 years ago,730.0,I always buy ice coffee hazelnut I always ask for 4 cream and 4 sugar but you guys always make my order wrong please train your workers how to make ice coffee because I always drink half and throw the rest in the garbage because it does not taste the way how I want it,1,2123,always buy ice coffee hazelnut always ask for cream and sugar but you guys always make order wrong please train your workers how make ice coffee because always drink half and throw the rest the garbage because does not taste the way how want
2141,How is this 3 large fries?!,1,Negative,human_annotated,1.0,False,validation,False,McDonald's,"72-69 Kissena Blvd, Queens, NY 11367, United States",a year ago,365.0,How is this 3 large fries?!,1,2141,how this large fries
2147,"It's a loud McDonald's, staff is ok. I always use drive thru, don't like to stay there too much noise.",3,Neutral,human_annotated,1.0,False,train,False,McDonald's,"72-69 Kissena Blvd, Queens, NY 11367, United States",5 years ago,1825.0,"It's a loud McDonald's, staff is ok. I always use drive thru, don't like to stay there too much noise.",3,2147,loud staff always use drive thru not like stay there too much noise
2153,"Food was fine, but they got part of my order wrong twice. However, they were responsive in correcting the matter.",3,Neutral,human_annotated,1.0,False,validation,False,McDonald's,"72-69 Kissena Blvd, Queens, NY 11367, United States",4 years ago,1460.0,"Food was fine, but they got part of my order wrong twice. However, they were responsive in correcting the matter.",3,2153,food was fine but they got part order wrong twice however they were responsive correcting the matter
2156,Areas are generally clean and the staff are good natured.,3,Positive,human_annotated,1.0,False,train,False,McDonald's,"72-69 Kissena Blvd, Queens, NY 11367, United States",a year ago,365.0,Areas are generally clean and the staff are good natured.,3,2156,areas are generally clean and the staff are good natured
2162,"The service is lack, because of the internet orders. There is not enough of personnel to handle the cashier to receive the walk in orders. Very disorganized personnel, and they need supervision.",1,Negative,human_annotated,1.0,False,train,False,McDonald's,"72-69 Kissena Blvd, Queens, NY 11367, United States",5 years ago,1825.0,"The service is lack, because of the internet orders. There is not enough of personnel to handle the cashier to receive the walk in orders. Very disorganized personnel, and they need supervision.",1,2162,the service lack because the internet orders there not enough personnel handle the cashier receive the walk orders very disorganized personnel and they need supervision
2173,It doesn't matter how many nuggets you get you have to fight for the sauce. It's so annoying!,1,Negative,human_annotated,1.0,False,train,False,McDonald's,"72-69 Kissena Blvd, Queens, NY 11367, United States",2 years ago,730.0,It doesn't matter how many nuggets you get you have to fight for the sauce. It's so annoying!,1,2173,does not matter how many nuggets you get you have fight for the sauce annoying
